CODAGENTE,NOMEDOGRUPO,CODGRUPO,VOLUME,FATURAMENTO,CODEMPRESA
4627,LUBRIFICANTES,4,10.0,309.92,2
4627,ADITIVOS E FLUIDOS,5,13.0,470.93,2
4627,DIVERSOS GERAIS - VEICULOS,8,4.0,49.46,2
4627,LIMPEZA E CONSERVACAO,21,16.0,312.13,2
4627,COMBUSTIVEIS -  GNV,25,18.689,86.53,2
4627,PALHETA AUTOMOTIVA,29,28.0,977.44,2
6149,COMBUSTIVEIS LIQUIDOS,1,20602.9416,118774.88,2
6149,AGENTE REDUTOR,2,750.8363,2331.9,2
6149,LUBRIFICANTES,4,8.0,225.92,2
6149,ADITIVOS E FLUIDOS,5,1.0,71.99,2
6149,DIVERSOS GERAIS - VEICULOS,8,1.0,18.91,2
6149,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,2
6149,LIMPEZA E CONSERVACAO,21,2.0,31.33,2
6151,COMBUSTIVEIS LIQUIDOS,1,20300.6663,117629.06,2
6151,AGENTE REDUTOR,2,356.9019,1143.72,2
6151,LUBRIFICANTES,4,49.3402,1518.93,2
6151,ADITIVOS E FLUIDOS,5,4.0,320.07,2
6151,FILTROS DE OLEO E AR,6,2.0,174.0,2
6151,FILTROS DE COMBUSTIVEIS,7,1.0,27.0,2
6151,PECAS E ACESSORIOS VEICULO ,10,3.0,114.0,2
6151,LIMPEZA E CONSERVACAO,21,6.0,115.11,2
6153,COMBUSTIVEIS LIQUIDOS,1,1426.9646,8253.31,2
6153,COMBUSTIVEIS -  GNV,25,4.32,20.0,2
10872,HIGIENE PESSOAL,20,2.0,10.89,2
10872,SORVETES,26,39.0,260.0,2
11264,COMBUSTIVEIS LIQUIDOS,1,172.8422,1000.75,2
12008,COMBUSTIVEIS LIQUIDOS,1,5554.6807,31089.15,2
12008,LUBRIFICANTES,4,5.0,163.95,2
12008,ADITIVOS E FLUIDOS,5,7.0,275.16,2
12008,DIVERSOS GERAIS - VEICULOS,8,1.0,15.0,2
12008,LIMPEZA E CONSERVACAO,21,4.0,102.32,2
12008,PALHETA AUTOMOTIVA,29,2.0,63.0,2
13165,COMBUSTIVEIS LIQUIDOS,1,2272.2954,12839.67,2
13165,LUBRIFICANTES,4,3.0,133.99,2
13165,ADITIVOS E FLUIDOS,5,3.0,352.88,2
13165,DIVERSOS GERAIS - VEICULOS,8,2.0,33.99,2
13165,LIMPEZA E CONSERVACAO,21,5.0,81.41,2
13165,PALHETA AUTOMOTIVA,29,1.0,34.0,2
14503,COMBUSTIVEIS LIQUIDOS,1,881.3384,5005.18,2
15070,DIVERSOS GERAIS - VEICULOS,8,8.0,133.92,2
15070,LIMPEZA E CONSERVACAO,21,29.0,519.44,2
16905,HIGIENE PESSOAL,20,8.0,43.48,2
16905,SORVETES,26,108.0,732.0,2
19799,COMBUSTIVEIS LIQUIDOS,1,5757.338,32751.44,2
19799,ADITIVOS E FLUIDOS,5,6.0,214.66,2
19799,DIVERSOS GERAIS - VEICULOS,8,3.0,41.98,2
19799,LIMPEZA E CONSERVACAO,21,6.0,113.96,2
19799,COMBUSTIVEIS -  GNV,25,908.7934,4204.5,2
19799,PALHETA AUTOMOTIVA,29,6.0,290.0,2
21496,COMBUSTIVEIS LIQUIDOS,1,14730.5316,84974.77,2
21496,AGENTE REDUTOR,2,315.9352,944.64,2
21496,LUBRIFICANTES,4,5.0,219.96,2
21496,ADITIVOS E FLUIDOS,5,3.0,163.57,2
21496,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,2
21496,LIMPEZA E CONSERVACAO,21,3.0,74.31,2
23853,COMBUSTIVEIS LIQUIDOS,1,25.2105,150.0,2
23853,LUBRIFICANTES,4,7.0,151.9,2
23853,ADITIVOS E FLUIDOS,5,2.0,41.4,2
23853,LIMPEZA E CONSERVACAO,21,1.0,16.19,2
23853,COMBUSTIVEIS -  GNV,25,3983.6434,18401.69,2
24302,COMBUSTIVEIS LIQUIDOS,1,6597.7173,37247.41,2
24302,AGENTE REDUTOR,2,112.85,424.33,2
24302,LUBRIFICANTES,4,2.0,53.98,2
24302,ADITIVOS E FLUIDOS,5,2.0,62.0,2
24302,LIMPEZA E CONSERVACAO,21,4.0,84.87,2
24302,COMBUSTIVEIS -  GNV,25,46.3014,214.37,2
26002,COMBUSTIVEIS LIQUIDOS,1,6459.1619,37833.2,2
26002,AGENTE REDUTOR,2,68.021,203.38,2
26002,LUBRIFICANTES,4,4.0,592.96,2
26002,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,2
26003,COMBUSTIVEIS LIQUIDOS,1,3241.4473,18206.81,2
26003,LUBRIFICANTES,4,1.0,41.0,2
26003,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,2
26003,LIMPEZA E CONSERVACAO,21,1.0,31.0,2
28423,COMBUSTIVEIS LIQUIDOS,1,338.0084,1849.29,2
28423,LUBRIFICANTES,4,3.0,78.97,2
28423,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,2
28423,COMBUSTIVEIS -  GNV,25,2678.5494,12332.76,2
28426,COMBUSTIVEIS LIQUIDOS,1,455.5358,2615.52,2
28426,LUBRIFICANTES,4,11.0,328.92,2
28426,ADITIVOS E FLUIDOS,5,1.0,29.99,2
28426,DIVERSOS GERAIS - VEICULOS,8,1.0,7.99,2
28426,LIMPEZA E CONSERVACAO,21,3.0,35.7,2
28426,COMBUSTIVEIS -  GNV,25,4409.3256,20414.89,2
28929,LUBRIFICANTES,4,7.0,175.94,2
28929,ADITIVOS E FLUIDOS,5,1.0,36.0,2
28929,COMBUSTIVEIS -  GNV,25,3276.745,15117.59,2
28931,COMBUSTIVEIS LIQUIDOS,1,11035.4896,64079.03,2
28931,AGENTE REDUTOR,2,223.901,669.46,2
28931,LUBRIFICANTES,4,1.0,38.0,2
28931,ADITIVOS E FLUIDOS,5,1.0,146.9,2
28931,LIMPEZA E CONSERVACAO,21,1.0,7.99,2
28932,COMBUSTIVEIS LIQUIDOS,1,23544.2884,135411.16,2
28932,AGENTE REDUTOR,2,616.6273,2093.73,2
28932,LUBRIFICANTES,4,18.0,499.82,2
28932,DIVERSOS GERAIS - VEICULOS,8,1.0,2.19,2
28932,LIMPEZA E CONSERVACAO,21,8.0,116.79,2
28932,COMBUSTIVEIS -  GNV,25,20.2009,93.53,2
28934,COMBUSTIVEIS LIQUIDOS,1,7146.1684,40585.62,2
28934,AGENTE REDUTOR,2,54.0023,155.31,2
28934,LUBRIFICANTES,4,13.0,581.92,2
28934,PECAS E ACESSORIOS VEICULO ,10,1.0,29.99,2
28934,COMBUSTIVEIS -  GNV,25,345.9052,1585.81,2
28934,PALHETA AUTOMOTIVA,29,2.0,63.0,2
30211,LUBRIFICANTES,4,7.0,214.95,2
30211,ADITIVOS E FLUIDOS,5,1.0,20.0,2
30211,DIVERSOS GERAIS - VEICULOS,8,2.0,15.98,2
30211,LIMPEZA E CONSERVACAO,21,6.0,110.68,2
30211,COMBUSTIVEIS -  GNV,25,4407.8387,20408.01,2
34195,CONVENIENCIA,3,2.0,11.98,2
34195,HIGIENE PESSOAL,20,5.0,88.68,2
34195,SORVETES,26,67.0,459.0,2
725,COMBUSTIVEIS LIQUIDOS,1,8030.2715,47952.25,4
725,AGENTE REDUTOR,2,80.0939,239.48,4
725,LUBRIFICANTES,4,12.0,1599.55,4
725,ADITIVOS E FLUIDOS,5,5.0,345.95,4
725,FILTROS DE OLEO E AR,6,3.0,104.48,4
725,FILTROS DE COMBUSTIVEIS,7,1.0,81.0,4
725,LIMPEZA E CONSERVACAO,21,1.0,15.99,4
727,COMBUSTIVEIS LIQUIDOS,1,11144.6088,64972.6,4
727,AGENTE REDUTOR,2,409.443,1219.83,4
727,LUBRIFICANTES,4,17.0,738.85,4
727,ADITIVOS E FLUIDOS,5,4.0,214.98,4
727,FILTROS DE OLEO E AR,6,1.0,139.99,4
727,DIVERSOS GERAIS - VEICULOS,8,2.0,57.98,4
727,PECAS E ACESSORIOS VEICULO ,10,2.0,65.0,4
727,LIMPEZA E CONSERVACAO,21,7.0,150.43,4
728,COMBUSTIVEIS LIQUIDOS,1,10022.5916,57575.68,4
728,AGENTE REDUTOR,2,244.1228,725.72,4
728,LUBRIFICANTES,4,9.0,309.92,4
728,ADITIVOS E FLUIDOS,5,4.0,117.99,4
728,DIVERSOS GERAIS - VEICULOS,8,1.0,29.99,4
728,PECAS E ACESSORIOS VEICULO ,10,2.0,76.0,4
728,LIMPEZA E CONSERVACAO,21,1.0,20.98,4
821,COMBUSTIVEIS LIQUIDOS,1,4226.4687,23400.22,4
821,LUBRIFICANTES,4,2.0,53.98,4
821,ADITIVOS E FLUIDOS,5,1.0,42.99,4
821,DIVERSOS GERAIS - VEICULOS,8,2.0,24.98,4
825,COMBUSTIVEIS LIQUIDOS,1,8379.7515,48186.61,4
825,AGENTE REDUTOR,2,107.7895,409.29,4
825,LUBRIFICANTES,4,11.0,985.91,4
825,ADITIVOS E FLUIDOS,5,9.0,329.91,4
825,FILTROS DE COMBUSTIVEIS,7,1.0,108.0,4
825,DIVERSOS GERAIS - VEICULOS,8,1.0,24.99,4
825,PECAS E ACESSORIOS VEICULO ,10,2.0,76.0,4
825,LIMPEZA E CONSERVACAO,21,3.0,48.48,4
825,PALHETA AUTOMOTIVA,29,1.0,34.0,4
827,COMBUSTIVEIS LIQUIDOS,1,7399.8841,41761.02,4
827,AGENTE REDUTOR,2,119.1579,356.28,4
827,LUBRIFICANTES,4,3.0,100.79,4
827,ADITIVOS E FLUIDOS,5,5.0,172.95,4
827,DIVERSOS GERAIS - VEICULOS,8,1.0,7.99,4
827,PECAS E ACESSORIOS VEICULO ,10,1.0,27.0,4
827,LIMPEZA E CONSERVACAO,21,1.0,29.99,4
829,COMBUSTIVEIS LIQUIDOS,1,3760.4269,20870.19,4
829,CONVENIENCIA,3,1.0,19.99,4
829,ADITIVOS E FLUIDOS,5,1.0,54.0,4
829,HIGIENE PESSOAL,20,1.0,17.6,4
840,COMBUSTIVEIS LIQUIDOS,1,3114.1241,18172.17,4
842,HIGIENE PESSOAL,20,2.0,18.49,4
981,COMBUSTIVEIS LIQUIDOS,1,2619.2955,15267.01,4
1033,COMBUSTIVEIS LIQUIDOS,1,6128.3787,35496.86,4
1033,AGENTE REDUTOR,2,189.7633,567.39,4
1033,LUBRIFICANTES,4,7.0,236.93,4
1033,ADITIVOS E FLUIDOS,5,3.0,102.48,4
1033,DIVERSOS GERAIS - VEICULOS,8,1.0,18.99,4
1033,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,4
1033,LIMPEZA E CONSERVACAO,21,2.0,49.98,4
1036,COMBUSTIVEIS LIQUIDOS,1,9082.4703,53665.57,4
1036,AGENTE REDUTOR,2,198.5465,593.65,4
1036,LUBRIFICANTES,4,3.0,74.97,4
1036,LIMPEZA E CONSERVACAO,21,2.0,55.49,4
1046,COMBUSTIVEIS LIQUIDOS,1,6886.2322,39600.02,4
1046,AGENTE REDUTOR,2,50.9102,152.22,4
1046,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,4
1053,CONVENIENCIA,3,1.0,19.99,4
1053,HIGIENE PESSOAL,20,3.0,20.29,4
1058,COMBUSTIVEIS LIQUIDOS,1,11933.3608,69344.5,4
1058,AGENTE REDUTOR,2,282.7877,932.53,4
1058,LUBRIFICANTES,4,7.0,417.85,4
1058,ADITIVOS E FLUIDOS,5,4.0,338.9,4
1058,FILTROS DE OLEO E AR,6,2.0,34.49,4
1058,FILTROS DE COMBUSTIVEIS,7,2.0,184.0,4
1058,DIVERSOS GERAIS - VEICULOS,8,1.0,29.99,4
1058,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,4
1058,LIMPEZA E CONSERVACAO,21,1.0,16.99,4
1590,COMBUSTIVEIS LIQUIDOS,1,8440.6276,49734.06,4
1590,AGENTE REDUTOR,2,265.8309,789.74,4
1590,LUBRIFICANTES,4,36.0,2860.49,4
1590,ADITIVOS E FLUIDOS,5,4.0,171.96,4
1590,FILTROS DE OLEO E AR,6,9.0,316.96,4
1590,FILTROS DE COMBUSTIVEIS,7,5.0,237.97,4
1593,COMBUSTIVEIS LIQUIDOS,1,2799.6346,15869.87,4
1597,LIMPEZA E CONSERVACAO,21,1.0,12.06,4
1602,COMBUSTIVEIS LIQUIDOS,1,5129.3093,29196.2,4
1602,AGENTE REDUTOR,2,101.8999,304.68,4
1602,LUBRIFICANTES,4,7.0,212.97,4
1602,ADITIVOS E FLUIDOS,5,1.0,39.99,4
1602,LIMPEZA E CONSERVACAO,21,1.0,19.99,4
1604,COMBUSTIVEIS LIQUIDOS,1,3067.6124,18051.46,4
1604,AGENTE REDUTOR,2,92.6591,277.05,4
1620,COMBUSTIVEIS LIQUIDOS,1,4987.5542,28673.24,4
1620,AGENTE REDUTOR,2,26.9332,167.53,4
1620,CONVENIENCIA,3,2.0,39.98,4
1620,LUBRIFICANTES,4,4.0,95.96,4
1620,ADITIVOS E FLUIDOS,5,5.0,189.99,4
1620,HIGIENE PESSOAL,20,2.0,35.49,4
1620,PALHETA AUTOMOTIVA,29,2.0,57.98,4
4197,HIGIENE PESSOAL,20,2.0,20.5,4
17131,COMBUSTIVEIS LIQUIDOS,1,2669.5822,15750.06,4
17131,AGENTE REDUTOR,2,62.639,187.29,4
17131,LUBRIFICANTES,4,2.0,71.98,4
17131,ADITIVOS E FLUIDOS,5,2.0,71.99,4
17131,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,4
17131,HIGIENE PESSOAL,20,2.0,22.6,4
29517,COMBUSTIVEIS LIQUIDOS,1,3937.5878,23067.63,4
29517,AGENTE REDUTOR,2,20.472,235.21,4
29517,LUBRIFICANTES,4,3.0,234.99,4
29517,ADITIVOS E FLUIDOS,5,2.0,62.0,4
29517,LIMPEZA E CONSERVACAO,21,2.0,28.49,4
29517,PALHETA AUTOMOTIVA,29,1.0,31.0,4
3290,COMBUSTIVEIS LIQUIDOS,1,6732.2975,38396.44,5
3290,LUBRIFICANTES,4,28.0,946.31,5
3290,ADITIVOS E FLUIDOS,5,38.0,1628.76,5
3290,FILTROS DE OLEO E AR,6,4.0,83.49,5
3290,FILTROS DE COMBUSTIVEIS,7,3.0,54.5,5
3290,LIMPEZA E CONSERVACAO,21,4.0,51.66,5
3298,COMBUSTIVEIS LIQUIDOS,1,778.6987,4561.77,5
3298,LUBRIFICANTES,4,1.0,30.0,5
3298,ADITIVOS E FLUIDOS,5,2.0,16.5,5
3302,COMBUSTIVEIS LIQUIDOS,1,1162.4116,6522.13,5
3303,COMBUSTIVEIS LIQUIDOS,1,5435.1187,30700.14,5
3303,AGENTE REDUTOR,2,1.0,89.99,5
3303,LUBRIFICANTES,4,6.0,932.68,5
3303,ADITIVOS E FLUIDOS,5,10.0,105.24,5
3303,LIMPEZA E CONSERVACAO,21,17.0,174.31,5
3303,PALHETA AUTOMOTIVA,29,2.0,62.99,5
3314,COMBUSTIVEIS LIQUIDOS,1,3000.4394,16297.59,5
3314,LUBRIFICANTES,4,1.0,39.99,5
3314,ADITIVOS E FLUIDOS,5,3.0,79.14,5
3314,LIMPEZA E CONSERVACAO,21,1.0,15.93,5
3612,COMBUSTIVEIS LIQUIDOS,1,4630.6085,26060.83,5
3618,COMBUSTIVEIS LIQUIDOS,1,2125.4711,11808.85,5
3619,COMBUSTIVEIS LIQUIDOS,1,179.52,901.43,5
3619,LUBRIFICANTES,4,1.0,43.99,5
3619,LIMPEZA E CONSERVACAO,21,1.0,8.5,5
3620,COMBUSTIVEIS LIQUIDOS,1,9240.0498,51334.19,5
3620,AGENTE REDUTOR,2,24.3713,225.07,5
3620,LUBRIFICANTES,4,3.0,105.98,5
3620,ADITIVOS E FLUIDOS,5,9.0,321.96,5
3622,COMBUSTIVEIS LIQUIDOS,1,1585.6412,8590.45,5
3622,AGENTE REDUTOR,2,48.191,144.09,5
3622,PALHETA AUTOMOTIVA,29,1.0,28.99,5
3631,COMBUSTIVEIS LIQUIDOS,1,3519.8403,19075.07,5
3631,AGENTE REDUTOR,2,6.8094,20.36,5
3632,COMBUSTIVEIS LIQUIDOS,1,6246.9161,34397.64,5
3632,AGENTE REDUTOR,2,6.84,96.55,5
3632,LUBRIFICANTES,4,5.0,151.22,5
3632,ADITIVOS E FLUIDOS,5,6.0,89.49,5
3632,PECAS E ACESSORIOS VEICULO ,10,2.0,67.99,5
3632,LIMPEZA E CONSERVACAO,21,20.0,236.95,5
16055,COMBUSTIVEIS LIQUIDOS,1,37.3519,206.27,5
16055,LIMPEZA E CONSERVACAO,21,2.0,25.91,5
16055,PALHETA AUTOMOTIVA,29,1.0,28.99,5
16492,COMBUSTIVEIS LIQUIDOS,1,6761.5128,38308.11,5
16492,AGENTE REDUTOR,2,22.0703,142.09,5
16492,LUBRIFICANTES,4,3.0,80.32,5
16492,ADITIVOS E FLUIDOS,5,3.0,96.98,5
16492,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,5
16492,LIMPEZA E CONSERVACAO,21,18.0,203.94,5
21103,COMBUSTIVEIS LIQUIDOS,1,2856.5798,15758.77,5
21103,AGENTE REDUTOR,2,26.83,80.22,5
22762,COMBUSTIVEIS LIQUIDOS,1,11524.3939,65330.38,5
22762,AGENTE REDUTOR,2,35.228,257.53,5
22762,LUBRIFICANTES,4,2.0,64.98,5
22762,ADITIVOS E FLUIDOS,5,6.0,126.5,5
22762,DIVERSOS GERAIS - VEICULOS,8,3.0,41.52,5
22762,LIMPEZA E CONSERVACAO,21,3.0,42.98,5
22778,COMBUSTIVEIS LIQUIDOS,1,3515.0971,19604.21,5
22778,AGENTE REDUTOR,2,34.9302,104.44,5
22778,LUBRIFICANTES,4,2.0,55.98,5
22778,ADITIVOS E FLUIDOS,5,4.0,89.22,5
29959,COMBUSTIVEIS LIQUIDOS,1,7211.31,41037.43,5
0,COMBUSTIVEIS LIQUIDOS,1,7.8208,45.81,6
3308,LUBRIFICANTES,4,5.0,128.56,6
3308,ADITIVOS E FLUIDOS,5,2.0,39.18,6
3308,DIVERSOS GERAIS - VEICULOS,8,1.0,16.86,6
3308,BEBIDAS ALCOOLICAS,12,17.0,61.5,6
3308,AGUAS MINERAIS E GELO,18,26.0,87.1,6
3308,ENERGETICO,19,7.0,80.0,6
3308,LIMPEZA E CONSERVACAO,21,6.0,89.26,6
3308,REFRIGERANTES,22,3.0,13.0,6
3308,SUCOS,23,13.0,38.76,6
3308,SORVETES,26,12.0,115.48,6
3313,COMBUSTIVEIS LIQUIDOS,1,8209.0085,48285.81,6
3313,AGENTE REDUTOR,2,33.0402,98.79,6
3313,LUBRIFICANTES,4,7.0,180.33,6
3313,ADITIVOS E FLUIDOS,5,6.0,109.47,6
3313,FILTROS DE OLEO E AR,6,1.0,9.86,6
3313,DIVERSOS GERAIS - VEICULOS,8,4.0,106.58,6
3313,LIMPEZA E CONSERVACAO,21,7.0,95.81,6
3315,COMBUSTIVEIS LIQUIDOS,1,785.7126,4205.74,6
3315,SORVETES,26,1.0,7.0,6
3316,COMBUSTIVEIS LIQUIDOS,1,6412.7246,35324.85,6
3316,AGENTE REDUTOR,2,76.6495,403.0,6
3316,LUBRIFICANTES,4,8.0,259.93,6
3316,ADITIVOS E FLUIDOS,5,1.0,24.99,6
3316,DIVERSOS GERAIS - VEICULOS,8,1.0,46.0,6
3316,LIMPEZA E CONSERVACAO,21,3.0,50.7,6
3318,COMBUSTIVEIS LIQUIDOS,1,760.6369,4107.64,6
3626,COMBUSTIVEIS LIQUIDOS,1,2860.2106,15989.61,6
3629,COMBUSTIVEIS LIQUIDOS,1,4136.5714,22954.05,6
3629,LUBRIFICANTES,4,7.0,233.95,6
3629,ADITIVOS E FLUIDOS,5,1.0,15.99,6
3629,PALHETA AUTOMOTIVA,29,2.0,59.99,6
3723,COMBUSTIVEIS LIQUIDOS,1,1699.5514,9795.48,6
3736,COMBUSTIVEIS LIQUIDOS,1,8311.1849,47540.19,6
3736,AGENTE REDUTOR,2,79.2053,323.73,6
3736,LUBRIFICANTES,4,15.0,783.8,6
3736,ADITIVOS E FLUIDOS,5,2.0,57.28,6
3736,BEBIDAS ALCOOLICAS,12,4.0,18.0,6
3736,AGUAS MINERAIS E GELO,18,1.0,4.95,6
3736,LIMPEZA E CONSERVACAO,21,7.0,75.62,6
3736,SORVETES,26,1.0,7.99,6
3743,COMBUSTIVEIS LIQUIDOS,1,2020.582,11389.3,6
3743,LUBRIFICANTES,4,3.0,456.03,6
3743,ADITIVOS E FLUIDOS,5,5.0,132.89,6
3743,LIMPEZA E CONSERVACAO,21,15.0,197.97,6
3749,COMBUSTIVEIS LIQUIDOS,1,16.978,100.0,6
3749,LUBRIFICANTES,4,2.0,53.75,6
3749,ADITIVOS E FLUIDOS,5,1.0,14.89,6
3749,FILTROS DE OLEO E AR,6,1.0,9.86,6
3749,LIMPEZA E CONSERVACAO,21,3.0,21.3,6
3754,COMBUSTIVEIS LIQUIDOS,1,7503.3027,42278.37,6
3754,AGENTE REDUTOR,2,9.699,29.0,6
3754,LUBRIFICANTES,4,7.0,242.93,6
3754,ADITIVOS E FLUIDOS,5,5.0,100.65,6
3754,LIMPEZA E CONSERVACAO,21,9.0,114.56,6
3755,COMBUSTIVEIS LIQUIDOS,1,4.209,24.37,6
3755,ADITIVOS E FLUIDOS,5,3.0,50.18,6
3755,BEBIDAS ALCOOLICAS,12,45.0,188.0,6
